,index,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
0,0,2020,대학교,사립,경남,기존,가야대학교(김해) ,568.0,573.0,3110.0,238.0,231.0,81.8,5.4
1,7,2020,대학교,사립,서울,기존,감리교신학대학교 ,200.0,202.0,336.0,113.0,78.0,94.6,1.7
2,17,2020,사이버대학(대학),사립,대전,기존,건양사이버대학교 ,900.0,900.0,837.0,160.0,564.0,80.4,0.9
3,21,2020,대학교,사립,경남,기존,경남대학교 ,2840.0,2853.0,11995.0,1690.0,1043.0,95.8,4.2
4,31,2020,대학교,사립,경북,기존,경주대학교 ,762.0,702.0,1132.0,119.0,57.0,25.1,1.6
5,33,2020,사이버대학(대학),사립,서울,기존,경희사이버대학교 ,3000.0,3000.0,2497.0,782.0,1227.0,67.0,0.8
6,37,2020,사이버대학(대학),사립,서울,기존,고려사이버대학교 ,2485.0,2485.0,2928.0,925.0,897.0,73.3,1.2
7,43,2020,대학교,사립,전남,기존,광주가톨릭대학교 ,40.0,40.0,25.0,23.0,1.0,60.0,0.6
8,52,2020,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,1100.0,1100.0,1247.0,323.0,613.0,85.1,1.1
9,53,2020,대학교,사립,충남,기존,금강대학교 ,110.0,110.0,148.0,58.0,32.0,81.8,1.3
10,55,2020,대학교,사립,경북,기존,김천대학교 ,691.0,691.0,3206.0,326.0,333.0,95.4,4.6
11,65,2020,사이버대학(대학),사립,경북,기존,대구사이버대학교 ,1500.0,1500.0,1851.0,238.0,912.0,76.7,1.2
12,66,2020,대학교,사립,경북,기존,대구예술대학교 ,430.0,430.0,888.0,127.0,105.0,54.0,2.1
13,69,2020,대학교,사립,세종,기존,대전가톨릭대학교 ,40.0,40.0,15.0,14.0,0.0,35.0,0.4
14,71,2020,대학교,사립,대전,기존,대전신학대학교 ,32.0,32.0,34.0,12.0,4.0,50.0,1.1
15,79,2020,대학교,사립,전남,기존,동신대학교 ,1548.0,1560.0,8269.0,776.0,638.0,90.6,5.3
16,81,2020,대학교,사립,경북,기존,동양대학교 ,1028.0,1028.0,5607.0,671.0,325.0,96.9,5.5
17,83,2020,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교 ,990.0,990.0,1467.0,304.0,461.0,77.3,1.5
18,94,2020,대학교,사립,부산,기존,부산가톨릭대학교 ,916.0,918.0,5514.0,366.0,517.0,96.2,6.0
19,97,2020,사이버대학(대학),사립,부산,기존,부산디지털대학교 ,1000.0,1000.0,1076.0,159.0,629.0,78.8,1.1
20,100,2020,사이버대학(대학),사립,서울,기존,사이버한국외국어대학교 ,1600.0,1600.0,1913.0,430.0,930.0,85.0,1.2
21,109,2020,대학교,사립,서울,기존,서울기독대학교 ,136.0,136.0,455.0,53.0,73.0,92.6,3.3
22,111,2020,사이버대학(대학),사립,서울,기존,서울디지털대학교 ,3000.0,1800.0,2160.0,575.0,617.0,66.2,1.2
23,112,2020,사이버대학(대학),사립,서울,기존,서울사이버대학교 ,3270.0,3270.0,4049.0,1252.0,1450.0,82.6,1.2
24,126,2020,사이버대학(대학),사립,서울,기존,세종사이버대학교 ,2180.0,2180.0,3332.0,860.0,1027.0,86.6,1.5
25,129,2020,대학교,사립,경기,기존,수원가톨릭대학교 ,90.0,90.0,45.0,34.0,1.0,38.9,0.5
26,132,2020,각종학교(대학),사립,충북,기존,순복음총회신학교 ,75.0,75.0,72.0,14.0,1.0,20.0,1.0
27,136,2020,사이버대학(대학),사립,서울,기존,숭실사이버대학교 ,1650.0,1650.0,1710.0,570.0,665.0,74.8,1.0
28,137,2020,대학교,사립,경기,기존,신경대학교 ,246.0,246.0,1474.0,93.0,68.0,65.4,6.0
29,138,2020,대학교,사립,부산,기존,신라대학교 ,2143.0,2142.0,12687.0,993.0,899.0,88.3,5.9
30,141,2020,대학교,사립,경기,기존,아신대학교 ,186.0,186.0,263.0,80.0,72.0,81.7,1.4
31,152,2020,대학교,사립,전남,기존,영산선학대학교 ,50.0,50.0,6.0,4.0,2.0,12.0,0.1
32,162,2020,사이버대학(대학),사립,전북,기존,원광디지털대학교 ,1500.0,1500.0,1558.0,308.0,989.0,86.5,1.0
33,164,2020,대학교,사립,충북,기존,유원대학교 ,875.0,878.0,4695.0,508.0,328.0,95.2,5.3
34,169,2020,대학교,사립,인천,기존,인천가톨릭대학교 ,16.0,16.0,24.0,15.0,0.0,93.8,1.5
35,179,2020,기술대학,사립,서울,기존,정석대학 ,25.0,100.0,31.0,25.0,6.0,31.0,0.3
36,180,2020,대학교,사립,제주,기존,제주국제대학교 ,370.0,370.0,440.0,134.0,30.0,44.3,1.2
37,186,2020,대학교,사립,경기,기존,중앙승가대학교 ,120.0,122.0,41.0,20.0,13.0,27.0,0.3
38,192,2020,산업대학,사립,충남,기존,청운대학교 ,1241.0,1255.0,11264.0,621.0,569.0,94.8,9.0
39,210,2020,대학교,사립,경남,기존,한국국제대학교 ,540.0,538.0,1001.0,107.0,68.0,32.5,1.9
40,212,2020,방송통신대학,국립,서울,기존,한국방송통신대학교 ,55050.0,55050.0,16040.0,4795.0,8401.0,24.0,0.3
41,215,2020,각종학교(대학),특별법국립,서울,기존,한국예술종합학교 ,558.0,558.0,12061.0,170.0,364.0,95.7,21.6
42,219,2020,대학교,사립,대전,기존,한국침례신학대학교 ,360.0,364.0,520.0,124.0,163.0,78.8,1.4
43,225,2020,대학교,사립,전남,기존,한려대학교 ,205.0,205.0,484.0,59.0,18.0,37.6,2.4
44,234,2020,사이버대학(대학),사립,서울,기존,한양사이버대학교 ,3240.0,3240.0,3662.0,1348.0,1353.0,83.4,1.1
