,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
121,2019,대학교,사립,서울,기존,성공회대학교 ,502.0,504.0,2641.0,216.0,286.0,99.6,5.2
122,2019,대학교,사립,서울,기존,성균관대학교 ,3303.0,3308.0,71581.0,1869.0,1430.0,99.7,21.6
123,2019,대학교,사립,서울,기존,성신여자대학교 ,2060.0,2061.0,26393.0,0.0,2058.0,99.9,12.8
124,2019,대학교,사립,충북,기존,세명대학교 ,1880.0,1885.0,11347.0,960.0,922.0,99.8,6.0
125,2019,대학교,사립,서울,기존,세종대학교 ,2320.0,2331.0,30727.0,1282.0,1036.0,99.4,13.2
126,2019,사이버대학(대학),사립,서울,기존,세종사이버대학교 ,2180.0,2180.0,3458.0,868.0,1108.0,90.6,1.6
127,2019,대학교,사립,전남,기존,세한대학교 ,914.0,914.0,6148.0,538.0,375.0,99.9,6.7
128,2019,대학교,사립,광주,기존,송원대학교 ,800.0,800.0,4079.0,434.0,357.0,98.9,5.1
129,2019,대학교,사립,경기,기존,수원가톨릭대학교 ,90.0,90.0,54.0,33.0,0.0,36.7,0.6
130,2019,대학교,사립,경기,기존,수원대학교 ,2196.0,2204.0,29056.0,1036.0,1165.0,99.9,13.2
131,2019,대학교,사립,서울,기존,숙명여자대학교 ,2110.0,2117.0,22772.0,0.0,2107.0,99.5,10.8
132,2019,각종학교(대학),사립,충북,기존,순복음총회신학교 ,79.0,79.0,148.0,33.0,7.0,50.6,1.9
133,2019,대학교,국립,전남,기존,순천대학교 ,1588.0,1598.0,8594.0,803.0,780.0,99.1,5.4
134,2019,대학교,사립,충남,기존,순천향대학교 ,2352.0,2358.0,18509.0,1174.0,1176.0,99.7,7.8
135,2019,대학교,사립,서울,기존,숭실대학교 ,2675.0,2680.0,35749.0,1499.0,1175.0,99.8,13.3
136,2019,사이버대학(대학),사립,서울,기존,숭실사이버대학교 ,1650.0,1650.0,1689.0,550.0,662.0,73.5,1.0
137,2019,대학교,사립,경기,기존,신경대학교 ,246.0,240.0,1895.0,138.0,76.0,89.2,7.9
138,2019,대학교,사립,부산,기존,신라대학교 ,2143.0,2141.0,14481.0,1113.0,1028.0,100.0,6.8
139,2019,대학교,사립,경기,기존,신한대학교 ,316.0,320.0,3608.0,155.0,161.0,98.8,11.3
140,2019,대학교,사립,경기,기존,신한대학교 _제2캠퍼스,1137.0,1143.0,12890.0,460.0,680.0,99.7,11.3
141,2019,대학교,사립,경기,기존,아신대학교 ,186.0,188.0,285.0,77.0,75.0,80.9,1.5
142,2019,대학교,사립,경기,기존,아주대학교 ,1861.0,1863.0,33620.0,1101.0,748.0,99.2,18.0
143,2019,대학교,국립,경북,기존,안동대학교 ,1456.0,1462.0,7617.0,876.0,573.0,99.1,5.2
144,2019,대학교,사립,경기,기존,안양대학교 ,1009.0,1016.0,10290.0,467.0,534.0,98.5,10.1
145,2019,대학교,사립,인천,기존,안양대학교 _제2캠퍼스,122.0,122.0,753.0,76.0,46.0,100.0,6.2
146,2019,대학교,사립,서울,기존,연세대학교 ,3417.0,3392.0,56065.0,1816.0,1562.0,99.6,16.5
147,2019,대학교,사립,강원,기존,연세대학교(미래) _분교,1466.0,1470.0,13233.0,783.0,673.0,99.0,9.0
148,2019,대학교,사립,경북,기존,영남대학교 ,4552.0,4562.0,25851.0,2345.0,2199.0,99.6,5.7
149,2019,대학교,사립,경북,기존,영남신학대학교 ,115.0,115.0,210.0,47.0,68.0,100.0,1.8
150,2019,대학교,사립,경남,기존,영산대학교 ,680.0,681.0,4955.0,413.0,263.0,99.3,7.3
151,2019,대학교,사립,부산,기존,영산대학교 _제2캠퍼스,820.0,824.0,4343.0,395.0,427.0,99.8,5.3
152,2019,대학교,사립,전남,기존,영산선학대학교 ,50.0,50.0,5.0,5.0,0.0,10.0,0.1
153,2019,대학교,사립,전북,기존,예수대학교 ,124.0,124.0,613.0,29.0,94.0,99.2,4.9
154,2019,대학교,사립,전북,기존,예원예술대학교 ,207.0,209.0,1018.0,90.0,115.0,98.1,4.9
155,2019,대학교,사립,경기,기존,예원예술대학교 _제2캠퍼스,99.0,99.0,913.0,26.0,73.0,100.0,9.2
156,2019,대학교,사립,경기,기존,용인대학교 ,1403.0,1413.0,13362.0,768.0,637.0,99.4,9.5
157,2019,대학교,사립,전북,기존,우석대학교 ,1715.0,1724.0,11027.0,1029.0,684.0,99.4,6.4
158,2019,대학교,사립,대전,기존,우송대학교 ,2004.0,2011.0,18168.0,1069.0,933.0,99.6,9.0
159,2019,대학교,특별법법인,울산,기존,울산과학기술원 ,360.0,360.0,3600.0,265.0,101.0,101.7,10.0
160,2019,대학교,사립,울산,기존,울산대학교 ,2732.0,2735.0,16902.0,1391.0,1334.0,99.6,6.2
161,2019,대학교,사립,전북,기존,원광대학교 ,3526.0,3530.0,21271.0,2102.0,1408.0,99.4,6.0
162,2019,사이버대학(대학),사립,전북,기존,원광디지털대학교 ,1500.0,1500.0,1620.0,352.0,942.0,86.3,1.1
163,2019,대학교,사립,경북,기존,위덕대학교 ,825.0,825.0,2778.0,385.0,395.0,94.5,3.4
164,2019,대학교,사립,충북,기존,유원대학교 ,970.0,975.0,5062.0,620.0,338.0,98.3,5.2
165,2019,대학교,사립,대전,기존,을지대학교 ,147.0,147.0,2131.0,52.0,96.0,100.7,14.5
166,2019,대학교,사립,경기,기존,을지대학교 _제2캠퍼스,882.0,884.0,13509.0,271.0,611.0,99.8,15.3
167,2019,대학교,사립,서울,기존,이화여자대학교 ,3027.0,3034.0,31452.0,0.0,3025.0,99.7,10.4
168,2019,대학교,사립,경남,기존,인제대학교 ,2088.0,2081.0,9485.0,1186.0,896.0,100.0,4.6
169,2019,대학교,사립,부산,기존,인제대학교 _제2캠퍼스,80.0,80.0,520.0,9.0,71.0,100.0,6.5
170,2019,대학교,사립,인천,기존,인천가톨릭대학교 ,16.0,16.0,21.0,12.0,3.0,93.8,1.3
171,2019,대학교,사립,인천,기존,인천가톨릭대학교 _제2캠퍼스,150.0,150.0,1442.0,29.0,121.0,100.0,9.6
172,2019,대학교,국립대법인,인천,기존,인천대학교 ,2492.0,2497.0,21894.0,1437.0,1053.0,99.7,8.8
173,2019,대학교,사립,인천,기존,인하대학교 ,3411.0,3412.0,60214.0,1970.0,1435.0,99.8,17.6
174,2019,대학교,사립,서울,기존,장로회신학대학교 ,150.0,150.0,543.0,76.0,74.0,100.0,3.6
175,2019,대학교,국립,광주,기존,전남대학교 ,3143.0,3145.0,20810.0,1555.0,1586.0,99.9,6.6
176,2019,대학교,국립,전남,기존,전남대학교 _제2캠퍼스,747.0,751.0,4969.0,474.0,273.0,99.5,6.6
177,2019,대학교,국립,전북,기존,전북대학교 ,3818.0,3825.0,27941.0,2156.0,1654.0,99.6,7.3
178,2019,교육대학,국립,전북,기존,전주교육대학교 ,285.0,286.0,838.0,116.0,167.0,99.0,2.9
179,2019,대학교,사립,전북,기존,전주대학교 ,2512.0,2517.0,16825.0,1269.0,1239.0,99.6,6.7
180,2019,기술대학,사립,서울,기존,정석대학 ,25.0,100.0,29.0,23.0,6.0,29.0,0.3
181,2019,대학교,사립,제주,기존,제주국제대학교 ,630.0,630.0,689.0,210.0,52.0,41.6,1.1
182,2019,대학교,국립,제주,기존,제주대학교 ,2110.0,2128.0,13268.0,1033.0,1086.0,99.6,6.2
183,2019,대학교,사립,광주,기존,조선대학교 ,4361.0,4365.0,20050.0,2307.0,2037.0,99.5,4.6
184,2019,대학교,사립,충남,기존,중부대학교 ,1945.0,1945.0,19128.0,958.0,987.0,100.0,9.8
185,2019,대학교,사립,서울,기존,중앙대학교 ,3150.0,3172.0,77799.0,1612.0,1543.0,99.5,24.5
186,2019,대학교,사립,경기,기존,중앙대학교 _제2캠퍼스,1168.0,1172.0,10326.0,483.0,681.0,99.3,8.8
187,2019,대학교,사립,경기,기존,중앙승가대학교 ,120.0,122.0,39.0,22.0,14.0,29.5,0.3
188,2019,대학교,사립,충북,기존,중원대학교 ,968.0,974.0,6247.0,641.0,322.0,98.9,6.4
189,2019,교육대학,국립,경남,기존,진주교육대학교 ,319.0,319.0,2046.0,112.0,207.0,100.0,6.4
190,2019,대학교,사립,경기,기존,차의과학대학교 ,474.0,475.0,2777.0,150.0,324.0,99.8,5.8
191,2019,대학교,사립,경남,기존,창신대학교 ,500.0,500.0,3202.0,235.0,265.0,100.0,6.4
192,2019,대학교,국립,경남,기존,창원대학교 ,1754.0,1761.0,12374.0,906.0,846.0,99.5,7.0
193,2019,산업대학,사립,충남,기존,청운대학교 ,1295.0,1306.0,11847.0,658.0,642.0,99.5,9.1
194,2019,교육대학,국립,충북,기존,청주교육대학교 ,286.0,286.0,2038.0,107.0,177.0,99.3,7.1
195,2019,대학교,사립,충북,기존,청주대학교 ,2632.0,2649.0,19832.0,1405.0,1224.0,99.2,7.5
196,2019,대학교,사립,전남,기존,초당대학교 ,752.0,754.0,5022.0,458.0,293.0,99.6,6.7
197,2019,대학교,사립,서울,기존,총신대학교 ,360.0,361.0,1573.0,145.0,216.0,100.0,4.4
198,2019,대학교,사립,서울,기존,추계예술대학교 ,269.0,269.0,3442.0,72.0,195.0,99.3,12.8
199,2019,교육대학,국립,강원,기존,춘천교육대학교 ,321.0,321.0,1797.0,119.0,202.0,100.0,5.6
200,2019,대학교,국립,대전,기존,충남대학교 ,3425.0,3433.0,28086.0,1868.0,1554.0,99.7,8.2
201,2019,대학교,국립,충북,기존,충북대학교 ,2738.0,2741.0,24740.0,1589.0,1141.0,99.6,9.0
202,2019,대학교,사립,경기,기존,칼빈대학교 ,90.0,95.0,273.0,55.0,36.0,95.8,2.9
203,2019,대학교,사립,서울,기존,케이씨대학교 ,277.0,281.0,1942.0,111.0,169.0,99.6,6.9
204,2019,대학교,사립,경기,기존,평택대학교 ,855.0,853.0,9256.0,437.0,409.0,99.2,10.9
205,2019,대학교,사립,경북,기존,포항공과대학교 ,320.0,320.0,2334.0,233.0,75.0,96.3,7.3
206,2019,대학교,국립,경기,기존,한경대학교 ,1202.0,1210.0,7771.0,703.0,497.0,99.2,6.4
207,2019,대학교,사립,경기,기존,한국공학대학교 ,1380.0,1385.0,20818.0,1033.0,343.0,99.4,15.0
208,2019,대학교,특별법법인,대전,기존,한국과학기술원 ,970.0,710.0,4970.0,551.0,150.0,98.7,7.0
209,2019,대학교,국립,충북,기존,한국교원대학교 ,546.0,547.0,2809.0,217.0,327.0,99.5,5.1
210,2019,대학교,국립,충북,기존,한국교통대학교 ,1911.0,1917.0,13712.0,1299.0,614.0,99.8,7.2
211,2019,대학교,사립,경남,기존,한국국제대학교 ,664.0,664.0,1917.0,152.0,131.0,42.6,2.9
212,2019,대학교,사립,충남,기존,한국기술교육대학교 ,836.0,837.0,5465.0,667.0,170.0,100.0,6.5
213,2019,방송통신대학,국립,서울,기존,한국방송통신대학교 ,55200.0,55200.0,17338.0,5048.0,9282.0,26.0,0.3
214,2019,대학교,사립,서울,기존,한국성서대학교 ,223.0,222.0,1502.0,85.0,139.0,100.9,6.8
215,2019,사이버대학(대학),사립,서울,기존,한국열린사이버대학교 ,1000.0,1000.0,1536.0,271.0,728.0,99.9,1.5
216,2019,각종학교(대학),특별법국립,서울,기존,한국예술종합학교 ,558.0,558.0,13067.0,178.0,358.0,96.1,23.4
217,2019,대학교,사립,서울,기존,한국외국어대학교 ,3377.0,3407.0,40469.0,1308.0,2051.0,98.6,11.9
218,2019,대학교,특별법국립,충남,기존,한국전통문화대학교 ,140.0,140.0,938.0,44.0,96.0,100.0,6.7
219,2019,대학교,국립,서울,기존,한국체육대학교 ,545.0,547.0,1978.0,330.0,217.0,100.0,3.6
220,2019,대학교,사립,대전,기존,한국침례신학대학교 ,360.0,360.0,302.0,133.0,169.0,83.9,0.8
221,2019,대학교,사립,경기,기존,한국항공대학교 ,827.0,831.0,8955.0,647.0,181.0,99.6,10.8
222,2019,대학교,국립,부산,기존,한국해양대학교 ,1440.0,1441.0,8083.0,1052.0,389.0,100.0,5.6
223,2019,대학교,사립,대전,기존,한남대학교 ,2675.0,2679.0,14228.0,1193.0,1486.0,100.0,5.3
224,2019,대학교,사립,경북,기존,한동대학교 ,729.0,731.0,3220.0,328.0,403.0,100.0,4.4
225,2019,대학교,사립,강원,기존,한라대학교 ,895.0,896.0,3883.0,650.0,238.0,99.1,4.3
226,2019,대학교,사립,전남,기존,한려대학교 ,316.0,316.0,534.0,51.0,22.0,23.1,1.7
227,2019,대학교,사립,강원,기존,한림대학교 ,1711.0,1719.0,10370.0,830.0,885.0,99.8,6.0
228,2019,대학교,국립,대전,기존,한밭대학교 ,1846.0,1847.0,11423.0,1158.0,682.0,99.6,6.2
229,2019,대학교,사립,충남,기존,한서대학교 ,1579.0,1575.0,19143.0,913.0,660.0,99.9,12.2
230,2019,대학교,사립,서울,기존,한성대학교 ,1458.0,1462.0,18299.0,748.0,709.0,99.7,12.5
231,2019,대학교,사립,경기,기존,한세대학교 ,566.0,568.0,6311.0,213.0,353.0,99.6,11.1
232,2019,대학교,사립,경기,기존,한신대학교 ,1171.0,1175.0,11687.0,556.0,617.0,99.8,9.9
233,2019,대학교,사립,서울,기존,한양대학교 ,2804.0,2814.0,59093.0,1672.0,1122.0,99.3,21.0
234,2019,대학교,사립,경기,기존,한양대학교(ERICA) _분교,1822.0,1829.0,38653.0,1002.0,809.0,99.0,21.1
235,2019,사이버대학(대학),사립,서울,기존,한양사이버대학교 ,3240.0,3240.0,4080.0,1476.0,1396.0,88.6,1.3
236,2019,대학교,사립,전북,기존,한일장신대학교 ,219.0,219.0,578.0,117.0,100.0,99.1,2.6
237,2019,대학교,사립,경기,기존,협성대학교 ,1004.0,1010.0,8896.0,426.0,581.0,99.7,8.8
238,2019,대학교,사립,광주,기존,호남대학교 ,1562.0,1564.0,11511.0,748.0,812.0,99.7,7.4
239,2019,대학교,사립,광주,기존,호남신학대학교 ,139.0,139.0,225.0,53.0,86.0,100.0,1.6
240,2019,대학교,사립,충남,기존,호서대학교 ,2881.0,2890.0,25476.0,1614.0,1269.0,99.8,8.8
241,2019,산업대학,사립,전북,기존,호원대학교 ,1147.0,1125.0,14257.0,637.0,478.0,99.1,12.7
242,2019,대학교,사립,서울,기존,홍익대학교 ,2371.0,2408.0,29748.0,1304.0,1098.0,99.8,12.4
243,2019,대학교,사립,세종,기존,홍익대학교 _제2캠퍼스,1299.0,1321.0,9829.0,648.0,665.0,99.4,7.4
244,2019,사이버대학(대학),사립,부산,기존,화신사이버대학교 ,430.0,430.0,948.0,118.0,237.0,82.6,2.2
